gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,cogs,csho,dt,dvp,dvt,ebit,ebitda,ib,invt,lct,lt,ni,oancf,optdr,revt,sale,seq,tie,costat,prcc_c
021825,20211231,2021,INDL,C,D,STD,CFG,USD,,188409.0000,21406.0000,-72.0000,422.1370,,113.0000,783.0000,4603.0000,4603.0000,2319.0000,3490.0000,,164989.0000,2319.0000,2275.0000,,6986.0000,6986.0000,23420.0000,339.0000,A,47.2500
021841,20211231,2021,INDL,C,D,STD,CHRS,USD,602.3230,679.3340,97.7260,54.1370,76.9300,419.0230,0.0000,0.0000,-252.6470,-249.1930,-287.1000,37.6420,165.3270,581.6080,-287.1000,-37.4320,0.0000,326.5510,326.5510,97.7260,,A,15.9600
021847,20211231,2021,INDL,C,D,STD,HUBS,USD,1453.5740,2174.8540,873.7990,213.7420,47.3900,712.9680,0.0000,0.0000,-50.5200,-5.3610,-77.8370,0.0000,617.4740,1301.0550,-77.8370,238.7280,0.0000,1300.6580,1300.6580,873.7990,,A,659.1500
021898,20210331,2020,INDL,C,D,STD,BOOT,USD,374.4560,933.5810,394.8910,574.5530,29.2520,331.0170,0.0000,0.0000,86.3260,110.4740,59.3860,275.7600,221.6560,538.6900,59.3860,155.9220,0.0000,893.4910,893.4910,394.8910,,A,43.3600
021901,20211231,2021,INDL,C,D,STD,FGEN,USD,474.0590,773.8210,209.1460,449.0300,92.8810,117.3470,0.0000,0.0000,-228.5300,-213.7210,-290.0230,31.0150,225.4970,544.7080,-290.0230,-82.2320,0.0000,235.3090,235.3090,209.1460,,A,14.1000
021916,20211231,2021,INDL,C,D,STD,NVRO,USD,531.2040,574.5440,303.6160,115.9810,35.0270,171.3000,0.0000,0.0000,-90.9340,-86.0520,-131.3600,93.5170,82.2030,270.9280,-131.3600,-41.8810,,386.9050,386.9050,303.6160,,A,81.0700
022000,20211231,2021,INDL,C,D,STD,WK,USD,657.0920,786.7590,72.9790,99.3250,51.4450,337.7390,0.0000,0.0000,-28.9550,-23.7110,-37.7300,0.0000,646.4990,713.7800,-37.7300,49.8440,,443.2850,443.2850,72.9790,,A,130.4900
022037,20211231,2021,INDL,C,D,STD,SIEN,USD,140.7740,199.9040,40.8570,31.9880,62.1690,71.9410,0.0000,0.0000,-45.9080,-41.5480,-62.5190,52.9140,80.0180,159.0470,-62.4820,-42.5000,,80.6830,80.6830,40.8570,,A,3.6700
022040,20211231,2021,INDL,C,D,STD,UPLD,USD,262.9910,1029.0070,316.2880,87.8400,31.0970,528.6490,0.0000,0.0000,-7.1430,45.7850,-58.2120,0.0000,156.4440,712.7190,-58.2120,41.7380,,302.0160,302.0160,316.2880,,A,17.9400
022047,20211231,2021,INDL,C,D,STD,GRBK,USD,,1421.8670,826.8520,1040.8170,50.7600,339.6630,0.0710,0.0710,227.7900,230.5340,190.2100,1203.7430,,511.3060,190.2100,-92.3820,,1402.8760,1402.8760,874.5480,,A,30.3300
022082,20211231,2021,INDL,C,D,STD,JYNT,USD,26.8900,85.4540,29.5450,8.5140,14.4200,23.6240,0.0000,0.0000,5.3800,11.4690,6.5760,0.0000,21.4380,55.8840,6.5760,15.2330,0.0000,80.8600,80.8600,29.5450,,A,65.6900
022086,20211231,2021,INDL,C,D,STD,IBOC,USD,,16046.2360,2308.4810,34.7860,63.3720,,0.0000,72.8380,410.9590,435.9870,253.9220,35.3320,,13737.7550,253.9220,291.6810,3.1800,620.4290,620.4290,2308.4810,26.8310,A,42.3900
022134,20211231,2021,INDL,C,D,STD,AXTA,USD,2575.6000,7217.2000,1492.9000,2873.2000,227.4000,3880.7000,0.0000,0.0000,495.3000,741.9000,263.9000,669.7000,1334.9000,5678.5000,263.9000,558.6000,,4416.2000,4416.2000,1492.9000,,A,33.1200
022182,20210331,2020,INDL,C,D,STD,NEWR,USD,1048.2560,1398.6190,413.9750,131.7590,63.7590,517.1900,0.0000,0.0000,-170.2610,-120.4560,-192.6100,0.0000,462.0210,981.2550,-192.6100,69.8660,0.0000,667.6480,667.6480,413.9750,,A,65.4000
022207,20211231,2021,INDL,C,D,STD,TBI,USD,445.0730,1033.2260,493.0670,1613.3020,34.8610,67.0240,0.0000,0.0000,69.0350,96.5910,61.6340,0.0000,258.5460,540.1590,61.6340,20.4400,,2173.6220,2173.6220,493.0670,,A,27.6700
022260,20211231,2021,INDL,C,D,STD,HCA,USD,13542.0000,50742.0000,-933.0000,45821.0000,305.4770,36726.0000,0.0000,628.0000,9678.0000,12531.0000,6956.0000,1986.0000,9582.0000,49253.0000,6956.0000,8959.0000,1.1000,58752.0000,58752.0000,-933.0000,,A,256.9200
022447,20211231,2021,INDL,C,D,STD,PARR,USD,1130.1710,2570.2510,265.7000,4651.6110,60.1620,962.5230,0.0000,0.0000,-70.3910,10.3820,-81.2970,790.3170,1355.7930,2304.5510,-81.2970,-27.6220,0.0000,4710.0890,4710.0890,265.7000,,A,16.4900
022459,20211231,2021,INDL,C,D,STD,UE,USD,,2985.1160,995.3320,238.0460,117.1480,1754.7720,0.0000,70.1660,148.2440,,102.6860,0.0000,,1937.2220,102.6860,135.2730,,425.4420,425.4420,995.3320,,A,19.0000
022583,20210430,2020,INDL,C,D,STD,GMS,USD,1102.2520,2483.8980,822.4620,2235.3320,43.0730,1102.1910,0.0000,0.0000,196.2010,304.3260,105.5600,357.0540,562.5010,1661.4360,105.5600,153.3040,0.0000,3298.8230,3298.8230,822.4620,,A,30.4800
022603,20211231,2021,INDL,C,D,STD,SUM,USD,869.6100,4239.1250,1813.5670,1764.0520,118.7050,1665.3560,0.0000,0.0000,247.1650,448.8890,152.1840,188.3600,309.0700,2415.9130,152.1840,361.9290,,2409.6690,2409.6690,1813.5670,,A,40.1400
022653,20210331,2020,INDL,C,D,STD,VSTO,USD,1064.2320,1764.9390,736.9970,1526.7620,58.5610,582.9830,0.0000,0.0000,279.7270,344.8370,266.0120,454.5040,370.8170,1027.9420,266.0120,345.3740,,2225.5220,2225.5220,736.9970,,A,23.7600
022671,20211231,2021,INDL,C,D,STD,ESTE,USD,61.4150,1556.3670,558.4600,75.7300,53.4670,321.9570,0.0000,0.0000,194.2180,301.6500,35.4840,0.0000,150.6150,510.1060,35.4840,230.8740,,419.6430,419.6430,558.4940,,A,10.9400
022672,20211231,2021,INDL,C,D,STD,SHAK,USD,409.6760,1457.5700,409.5340,595.8360,39.1420,686.1880,0.0000,0.0000,-14.0420,44.9490,-8.6550,3.8500,121.4970,1021.9700,-8.6550,58.4020,0.0000,739.8930,739.8930,409.5370,,A,72.1600
022674,20211231,2021,INDL,C,D,STD,DEA,USD,,2826.1120,1282.6690,178.3880,90.1480,1212.7200,0.0000,88.2430,71.2820,,30.0580,0.0000,,1384.5310,30.0580,118.3440,,275.1310,275.1310,1282.6690,,A,22.9200
