gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup
005783,20211231,2021,INDL,C,D,STD,JBHT,USD,A,2030
005786,20211231,2021,INDL,C,D,STD,HBAN,USD,A,4010
005860,20211231,2021,INDL,C,D,STD,ITT,USD,A,2010
005870,20211231,2021,INDL,C,D,STD,IDA,USD,A,5510
005878,20211231,2021,INDL,C,D,STD,ITW,USD,A,2010
005968,20211231,2021,INDL,C,D,STD,RYI,USD,A,1510
005987,20210930,2021,INDL,C,D,STD,GFF,USD,A,2010
006008,20211231,2021,INDL,C,D,STD,INTC,USD,A,4530
006066,20211231,2021,INDL,C,D,STD,IBM,USD,A,4510
006078,20211231,2021,INDL,C,D,STD,IFF,USD,A,1510
006100,20211231,2021,INDL,C,D,STD,IDCC,USD,A,4510
006104,20211231,2021,INDL,C,D,STD,IP,USD,A,1510
006136,20211231,2021,INDL,C,D,STD,IPG,USD,A,5020
006223,20211231,2021,INDL,C,D,STD,EME,USD,A,2010
006266,20211231,2021,INDL,C,D,STD,JNJ,USD,A,3520
006268,20210930,2021,INDL,C,D,STD,JCI,USD,A,2010
006304,20210630,2021,INDL,C,D,STD,KLAC,USD,A,4530
006310,20211231,2021,INDL,C,D,STD,KMI,USD,A,1010
006326,20211231,2021,INDL,C,D,STD,KAMN,USD,A,2010
006375,20211231,2021,INDL,C,D,STD,K,USD,A,3020
006379,20211231,2021,INDL,C,D,STD,KELYA,USD,A,2020
006386,20210630,2021,INDL,C,D,STD,KMT,USD,A,2010
006433,20210630,2021,INDL,C,D,STD,KBAL,USD,A,2020
006435,20211231,2021,INDL,C,D,STD,KMB,USD,A,3030
006461,20211231,2021,INDL,C,D,STD,KEX,USD,A,2030
006502,20210131,2020,INDL,C,D,STD,KR,USD,A,3010
006509,20210930,2021,INDL,C,D,STD,KLIC,USD,A,4530
006543,20210430,2020,INDL,C,D,STD,LZB,USD,A,2520
006547,20210930,2021,INDL,C,D,STD,SR,USD,A,5510
006565,20210630,2021,INDL,C,D,STD,LRCX,USD,A,4530
006573,20210630,2021,INDL,C,D,STD,LANC,USD,A,3020
006649,20211231,2021,INDL,C,D,STD,LEG,USD,A,2520
006730,20211231,2021,INDL,C,D,STD,LLY,USD,A,3520
006737,20211231,2021,INDL,C,D,STD,LECO,USD,A,2010
006742,20211231,2021,INDL,C,D,STD,LNC,USD,A,4030
006774,20211231,2021,INDL,C,D,STD,LMT,USD,A,2010
006781,20211231,2021,INDL,C,D,STD,L,USD,A,4030
006821,20211231,2021,INDL,C,D,STD,LPX,USD,A,1510
006829,20210131,2020,INDL,C,D,STD,LOW,USD,A,2550
006865,20211231,2021,INDL,C,D,STD,MDC,USD,A,2520
006867,20211231,2021,INDL,C,D,STD,MDU,USD,A,2010
006932,20211231,2021,INDL,C,D,STD,MGEE,USD,A,5510
006994,20211231,2021,INDL,C,D,STD,MTW,USD,A,2010
007017,20211231,2021,INDL,C,D,STD,MRO,USD,A,1010
007022,20211231,2021,INDL,C,D,STD,MCS,USD,A,5020
007063,20211231,2021,INDL,C,D,STD,HST,USD,A,6010
007065,20211231,2021,INDL,C,D,STD,MMC,USD,A,4030
007085,20211231,2021,INDL,C,D,STD,MAS,USD,A,2010
007116,20211231,2021,INDL,C,D,STD,MAT,USD,A,2520
007154,20211231,2021,INDL,C,D,STD,MCD,USD,A,2530
007161,20211231,2021,INDL,C,D,STD,MGRC,USD,A,2010
007163,20211231,2021,INDL,C,D,STD,SPGI,USD,A,4020
007171,20210331,2020,INDL,C,D,STD,MCK,USD,A,3510
007228,20210430,2020,INDL,C,D,STD,MDT,USD,A,3510
007241,20211231,2021,INDL,C,D,STD,CVS,USD,A,3510
007257,20211231,2021,INDL,C,D,STD,MRK,USD,A,3520
007275,20210331,2020,INDL,C,D,STD,MLAB,USD,A,3510
007291,20210430,2020,INDL,C,D,STD,MEI,USD,A,4520
007343,20210831,2021,INDL,C,D,STD,MU,USD,A,4530
007366,20211231,2021,INDL,C,D,STD,ETR,USD,A,5510
007368,20211231,2021,INDL,C,D,STD,MSEX,USD,A,5510
007420,20211231,2021,INDL,C,D,STD,MSA,USD,A,2020
007435,20211231,2021,INDL,C,D,STD,MMM,USD,A,2010
007437,20211231,2021,INDL,C,D,STD,ALE,USD,A,5510
007486,20210331,2020,INDL,C,D,STD,MOD,USD,A,2510
007526,20211231,2021,INDL,C,D,STD,QDEL,USD,A,3510
007585,20211231,2021,INDL,C,D,STD,MSI,USD,A,4520
007620,20211231,2021,INDL,C,D,STD,MUR,USD,A,1010
007636,20211231,2021,INDL,C,D,STD,MYE,USD,A,1510
007647,20211231,2021,INDL,C,D,STD,BAC,USD,A,4010
007648,20211231,2021,INDL,C,D,STD,NCR,USD,A,4510
007685,20210630,2021,INDL,C,D,STD,NSSC,USD,A,4520
007733,20210930,2021,INDL,C,D,STD,NFG,USD,A,5510
007741,20211231,2021,INDL,C,D,STD,NHC,USD,A,3510
007750,20211231,2021,INDL,C,D,STD,THC,USD,A,3510
007762,20211231,2021,INDL,C,D,STD,NPK,USD,A,2010
007849,20210930,2021,INDL,C,D,STD,NJR,USD,A,5510
007866,20211231,2021,INDL,C,D,STD,NYT,USD,A,5020
007875,20211231,2021,INDL,C,D,STD,NWL,USD,A,2520
007881,20211231,2021,INDL,C,D,STD,NEM,USD,A,1510
007882,20211231,2021,INDL,C,D,STD,NR,USD,A,1010
007906,20210531,2020,INDL,C,D,STD,NKE,USD,A,2520
007921,20211031,2021,INDL,C,D,STD,NDSN,USD,A,2010
007922,20210131,2020,INDL,C,D,STD,JWN,USD,A,2550
007923,20211231,2021,INDL,C,D,STD,NSC,USD,A,2030
007951,20210131,2020,INDL,C,D,STD,MOV,USD,A,2520
007970,20211231,2021,INDL,C,D,STD,ES,USD,A,5510
007974,20211231,2021,INDL,C,D,STD,NI,USD,A,5510
007977,20211231,2021,INDL,C,D,STD,XEL,USD,A,5510
007982,20211231,2021,INDL,C,D,STD,NTRS,USD,A,4020
007985,20211231,2021,INDL,C,D,STD,NOC,USD,A,2010
007991,20211231,2021,INDL,C,D,STD,TEX,USD,A,2010
007993,20211231,2021,INDL,C,D,STD,NWN,USD,A,5510
008001,20211231,2021,INDL,C,D,STD,NWE,USD,A,5510
008007,20211231,2021,INDL,C,D,STD,WFC,USD,A,4010
008030,20211231,2021,INDL,C,D,STD,NUE,USD,A,1510
008068,20211231,2021,INDL,C,D,STD,OXY,USD,A,1010
008079,20211231,2021,INDL,C,D,STD,OII,USD,A,1010
008099,20211231,2021,INDL,C,D,STD,FE,USD,A,5510
008113,20211231,2021,INDL,C,D,STD,OGE,USD,A,5510
008123,20211231,2021,INDL,C,D,STD,OLN,USD,A,1510
008148,20211231,2021,INDL,C,D,STD,OLP,USD,A,6010
008151,20211231,2021,INDL,C,D,STD,OKE,USD,A,1010
008199,20211231,2021,INDL,C,D,STD,OTTR,USD,A,5510
008213,20211231,2021,INDL,C,D,STD,OMI,USD,A,3510
008214,20211231,2021,INDL,C,D,STD,OC,USD,A,2010
008215,20211231,2021,INDL,C,D,STD,OI,USD,A,1510
008219,20210131,2020,INDL,C,D,STD,OXM,USD,A,2520
008245,20211231,2021,INDL,C,D,STD,PNC,USD,A,4010
008247,20211231,2021,INDL,C,D,STD,PPG,USD,A,1510
008253,20211231,2021,INDL,C,D,STD,PCAR,USD,A,2010
008264,20211231,2021,INDL,C,D,STD,PCG,USD,A,5510
008272,20211231,2021,INDL,C,D,STD,SRE,USD,A,5510
008334,20211231,2021,INDL,C,D,STD,PAR,USD,A,4520
008348,20210228,2020,INDL,C,D,STD,PKE,USD,A,2010
008358,20210630,2021,INDL,C,D,STD,PH,USD,A,2010
008386,20211231,2021,INDL,C,D,STD,PATK,USD,A,2510
008402,20210531,2020,INDL,C,D,STD,PAYX,USD,A,4510
008431,20211231,2021,INDL,C,D,STD,AFG,USD,A,4030
008455,20211231,2021,INDL,C,D,STD,PPL,USD,A,5510
008463,20211231,2021,INDL,C,D,STD,PNR,USD,A,2010
008479,20211231,2021,INDL,C,D,STD,PEP,USD,A,3020
008486,20211231,2021,INDL,C,D,STD,TPC,USD,A,2010
008512,20211231,2021,INDL,C,D,STD,PDCE,USD,A,1010
008530,20211231,2021,INDL,C,D,STD,PFE,USD,A,3520
008539,20211231,2021,INDL,C,D,STD,EXC,USD,A,5510
008543,20211231,2021,INDL,C,D,STD,MO,USD,A,3020
008549,20211231,2021,INDL,C,D,STD,COP,USD,A,1010
008551,20210131,2020,INDL,C,D,STD,PVH,USD,A,2520
008582,20210331,2020,INDL,C,D,STD,SENEA,USD,A,3020
008599,20210331,2020,INDL,C,D,STD,AGYS,USD,A,4510
008606,20211231,2021,INDL,C,D,STD,PBI,USD,A,2020
008692,20211231,2021,INDL,C,D,STD,PCH,USD,A,6010
008762,20210630,2021,INDL,C,D,STD,PG,USD,A,3030
008807,20211231,2021,INDL,C,D,STD,PNM,USD,A,5510
008810,20211231,2021,INDL,C,D,STD,PEG,USD,A,5510
008823,20211231,2021,INDL,C,D,STD,PHM,USD,A,2520
008826,20210831,2021,INDL,C,D,STD,PCYO,USD,A,5510
008832,20210131,2020,INDL,C,D,STD,AGX,USD,A,2010
008850,20211231,2021,INDL,C,D,STD,KWR,USD,A,1510
008898,20210930,2021,INDL,C,D,STD,RJF,USD,A,4020
008901,20211231,2021,INDL,C,D,STD,RES,USD,A,1010
008902,20210531,2020,INDL,C,D,STD,RPM,USD,A,1510
009063,20211231,2021,INDL,C,D,STD,AN,USD,A,2550
009155,20210228,2020,INDL,C,D,STD,RAD,USD,A,3010
009203,20210930,2021,INDL,C,D,STD,ROK,USD,A,2010
009216,20211231,2021,INDL,C,D,STD,ROG,USD,A,4520
009225,20211231,2021,INDL,C,D,STD,ROL,USD,A,2020
009248,20210131,2020,INDL,C,D,STD,ROST,USD,A,2550
009273,20210630,2021,INDL,C,D,STD,RGLD,USD,A,1510
009299,20211231,2021,INDL,C,D,STD,R,USD,A,2030
009317,20211231,2021,INDL,C,D,STD,SEIC,USD,A,4020
009324,20211231,2021,INDL,C,D,STD,SJW,USD,A,5510
009465,20211231,2021,INDL,C,D,STD,SLB,USD,A,1010
009466,20210531,2020,INDL,C,D,STD,SCHL,USD,A,5020
009538,20211231,2021,INDL,C,D,STD,SEB,USD,A,3020
009551,20210331,2020,INDL,C,D,STD,APPS,USD,A,4510
009555,20211231,2021,INDL,C,D,STD,SEE,USD,A,1510
009599,20210131,2020,INDL,C,D,STD,SMTC,USD,A,4530
009611,20211231,2021,INDL,C,D,STD,SCI,USD,A,2530
009664,20211231,2021,INDL,C,D,STD,SHEN,USD,A,5010
009667,20211231,2021,INDL,C,D,STD,SHW,USD,A,1510
009771,20211231,2021,INDL,C,D,STD,AOS,USD,A,2010
009778,20211231,2021,INDL,C,D,STD,SNA,USD,A,2010
009783,20211231,2021,INDL,C,D,STD,KEY,USD,A,4010
009815,20211231,2021,INDL,C,D,STD,SON,USD,A,1510
009831,20211231,2021,INDL,C,D,STD,SJI,USD,A,5510
009846,20211231,2021,INDL,C,D,STD,EIX,USD,A,5510
009849,20211231,2021,INDL,C,D,STD,AWR,USD,A,5510
009850,20211231,2021,INDL,C,D,STD,SO,USD,A,5510
009882,20211231,2021,INDL,C,D,STD,LUV,USD,A,2030
009890,20211231,2021,INDL,C,D,STD,SWX,USD,A,5510
009904,20211231,2021,INDL,C,D,STD,SWN,USD,A,1010
009969,20211231,2021,INDL,C,D,STD,STAA,USD,A,3510
010000,20211231,2021,INDL,C,D,STD,SMP,USD,A,2510
010008,20210630,2021,INDL,C,D,STD,SXI,USD,A,2010
010016,20211231,2021,INDL,C,D,STD,SWK,USD,A,2010
010035,20211231,2021,INDL,C,D,STD,STT,USD,A,4020
010056,20211231,2021,INDL,C,D,STD,SCL,USD,A,1510
010086,20211231,2021,INDL,C,D,STD,STC,USD,A,4030
010096,20211231,2021,INDL,C,D,STD,PSA,USD,A,6010
010115,20211231,2021,INDL,C,D,STD,SYK,USD,A,3510
010121,20211231,2021,INDL,C,D,STD,NAVI,USD,A,4020
010124,20211231,2021,INDL,C,D,STD,RGR,USD,A,2520
010247,20210630,2021,INDL,C,D,STD,SYY,USD,A,3010
010390,20211231,2021,INDL,C,D,STD,TRC,USD,A,6010
010405,20211231,2021,INDL,C,D,STD,ATI,USD,A,1510
010407,20211231,2021,INDL,C,D,STD,TFX,USD,A,3510
010411,20211231,2021,INDL,C,D,STD,TDS,USD,A,5010
010441,20211231,2021,INDL,C,D,STD,TNC,USD,A,2010
010443,20211231,2021,INDL,C,D,STD,TEN,USD,A,2510
010453,20211231,2021,INDL,C,D,STD,TER,USD,A,4530
010499,20211231,2021,INDL,C,D,STD,TXN,USD,A,4530
010519,20211231,2021,INDL,C,D,STD,TXT,USD,A,2010
010530,20211231,2021,INDL,C,D,STD,TMO,USD,A,3520
