,tic,ROA,Net Profit Margin,Inventory Turnover,Dividend Payout Ratio,Dividend Yield,B/P,E/P,EBIT/P,S/P,CF/P,1/Financial Leverage,1/ROE
42,AZZ,0.08190441591181423,0.08190441591181423,6.602462545204063,0.4453476043822891,0.014811226294985763,0.523280742537936,0.033257675912570346,0.06851766305479386,0.7043073081119247,0.07726738533380653,0.6255175915908804,15.734134396930381
43,BMI,0.14830506878063668,0.14830506878063668,2.7291363403640156,0.3646113921555746,0.007122186288852955,0.12931842098508764,0.019533636200302868,0.02525698775698776,0.16208452041785373,0.028076153076153076,0.7593374753682053,6.620294330201695
44,BCPC,0.10808162924978633,0.10808162924978633,5.834391267104483,0.21545409140098226,0.0038037410691719852,0.16110972538297444,0.017654531619419708,0.023812418433855818,0.1467824109105094,0.02948680063638907,0.7312571654889208,9.125686756014318
45,BLL,0.07268945926752561,0.07268945926752561,6.1754874651810585,0.25854214123006836,0.007349215177699679,0.1174255658569019,0.028425598793041046,0.04639394427155789,0.44713661153837125,0.05698069917511645,0.18398092725981535,4.1309794988610475
46,BPOP,0.02533784600285555,0.02533784600285555,-0.19700509549724426,0.15371022656165598,0.02193596788059692,0.907842428927583,0.14270987930525234,0.2904634345144086,0.42203863716161594,0.15343637251343084,0.07919334733985034,6.361454675367877
47,BOH,0.017898619970093406,0.017898619970093406,-0.7247403535318798,0.4483841939914434,0.0336956619486808,0.4246098892508703,0.07514908509313739,0.1209574251835175,0.207044372234822,0.1118614234878434,0.06283145521421364,5.6502336485483795
48,BK,0.016785243386029096,0.016785243386029096,-2.0,0.3546155892524608,0.028540999357547028,0.8178184632114526,0.08048433352214499,0.15972682311125344,0.3459605908621492,0.06076470830961625,0.08594224616256936,10.16121308858739
49,B,0.05933165684836348,0.05933165684836348,2.9741294777909912,0.32443202867641907,0.013721438909815968,0.6050467682680737,0.04229372471575984,0.06474383157228053,0.5330898859905621,0.0710616559996475,0.5544686862101349,14.305828402070631
50,BAX,0.0627069598162346,0.0627069598162346,2.713004484304933,0.42601246105919005,0.012703608537341442,0.21080558444871714,0.029819805049262176,0.04881715748718777,0.2968974982474826,0.051604055155343116,0.27078547776021,7.069314641744548
51,AIT,0.11451016745700669,0.11451016745700669,6.324760651722397,0.3522593035224548,0.01289111327221414,0.23575376760178476,0.03659552251227452,0.06576636849309984,0.818061624739369,0.06110259265285419,0.4104864541750246,6.44214787540499
52,BDX,0.06349088478817808,0.06349088478817808,2.994417306350314,0.5009560229445507,0.014649142317430754,0.33093363011944,0.02924237187792475,0.047805407180928614,0.28303037561387206,0.0649566453712793,0.43951657817547246,11.316921606118546
53,VZ,0.08658577835000927,0.08658577835000927,18.429132569558103,0.4773170179016542,0.04828587083196044,0.37498114084181966,0.10116100834667746,0.14552697606799167,0.6125731161669892,0.1812737416278849,0.22310663509694598,3.7067754362111947
54,BBY,0.13667593223894686,0.13667593223894686,6.40199572344975,0.3225806451612903,0.022615586116057726,0.1788580922661324,0.07010831695977895,0.10161416796283868,1.8428583293398624,0.19211550481692485,0.24057271726018778,2.551167964404894
55,BKH,0.044835048493762956,0.044835048493762956,8.635108193854775,0.6125730747136147,0.03174320550271246,0.610050113412196,0.051819459282556275,0.08961743230915137,0.426627123502809,-0.014132241529154892,0.30520430806483123,11.772606697529822
56,HRB,0.2106462968771468,0.2106462968771468,28.067452221343217,0.33050497109513194,0.06777781778942635,0.12244433103744147,0.20284249607883914,0.2674125872609696,1.186215006159238,0.2174833080428366,0.09645187300575918,0.6036423994203405
57,BA,-0.00733298689300768,-0.00733298689300768,0.6991614122781422,-0.0,0.0,-0.12650896198072986,-0.03544173999886838,-0.00856944498782729,0.5252327542145482,-0.028812228423639785,-0.10825538426006119,3.5694907187053784
58,RHI,0.2514954990229847,0.2514954990229847,61.84296123579132,0.28511792003688446,0.013827212455745207,0.11188304120143293,0.048496469299286554,0.06015253419842567,0.5234607594308622,0.0488618377873572,0.46777881687152545,2.3070347763044037
59,BRC,0.12360026013314403,0.12360026013314403,4.098018470761974,0.3528177758582127,0.016300532997426287,0.343152837219548,0.046200996981447445,0.06067927391825996,0.4078867555871088,0.07328398371257984,0.6989829839245846,7.427390308424407
60,BMY,0.08073073897213531,0.08073073897213531,4.105489260143198,0.6369745496139548,0.032836159724515306,0.26494469078730126,0.05155019104674749,0.06504581584036982,0.34188670456153586,0.11945581159488655,0.32883253746089247,5.139548184157849
61,CAL,-0.034836238986636674,-0.034836238986636674,2.5249930833785905,-0.024512996625022203,0.018116091428029012,0.3370208993114573,-0.7390402611787004,-0.10946569143166433,3.5630837680729637,0.21265537906036325,0.10725315337029005,-0.4560250868794892
62,BC,0.1544700460829493,0.1544700460829493,3.312996688741722,0.1661068189452469,0.012762177763253986,0.2470107247160847,0.07656016245640636,0.10813655172504388,0.7544008456980328,0.07406966669471979,0.3528479262672811,3.226361031518625
63,MTRN,0.06484501508262316,0.06484501508262316,3.2966838818658872,0.13379970748130363,0.005158008574007066,0.3832149837122462,0.03855022309916347,0.05544553364223725,0.8035386928196692,0.04800080970681363,0.4481800384328505,9.940668377625078
64,MTZ,0.058956162087951056,0.058956162087951056,73.50002699929802,0.0,0.0,0.3601100937642373,0.04662372731279711,0.059528973583019444,1.1274535217028843,0.11244701963886998,0.35664497100497056,7.723751714406488
65,UIS,0.07257697871461045,0.07257697871461045,180.51315789473685,-0.0,0.0,-0.0822539759705535,-0.3244582957149802,0.12703428478829548,1.4862143204389193,0.09585445748547353,-0.046993180409175446,0.25351170568561876
66,CI,0.0544970914655011,0.0544970914655011,40.351961311123056,0.251071761416589,0.018163785750995365,0.6352875087608714,0.07234499669939877,0.11382369378184995,2.3500190036889133,0.09696791635887726,0.30416620934992156,8.781360671015843
67,CNA,0.018532691066792718,0.018532691066792718,170.82899612774287,0.5158069883527454,0.05183198859530389,1.0708321643826573,0.10048717788960528,0.10324597728258113,0.965245387615127,0.16694916326584172,0.1922147691291886,10.65640599001664
